Code,Section number,Depth (cm),Age (kyr BP),Decription,TC(%),TN(%),TOC%,TIC%,TON%,CaCO3(%),TOC/TN,mean,sorting,skewness,kurtosis,Clay (%),Silt (%),Sand (%)
MD32-65,5,726.5,15.34,browninsh layer,1.61,0.1,0.68,0.93,0.09,7.75,7.82,7.24,0.99,0,0.85,25.3,74.7,0
MD32-66,5,746.5,15.52,browninsh layer,1.02,0.1,0.54,0.48,0.08,4,6.12,6.96,1.17,0,0.86,21.4,78.6,0
MD32-67,6,756,15.6,,1.57,0.1,0.57,1,0.08,8.33,6.52,7.12,1.2,-0.02,0.78,27.5,72.5,0
MD32-68,6,762.5,15.66,,1.53,0.12,0.63,0.9,0.09,7.49,6.15,7.62,1.09,-0.12,0.82,41.8,58.2,0
MD32-69,6,795.7,15.94,,1.65,0.12,0.63,1.02,0.09,8.51,6.01,6.83,1.28,0.02,0.85,21,79,0
MD32-70,6,827.8,16.23,KYWei sampled,1.57,0.12,0.54,1.04,0.08,8.66,5.2,7.5,1.09,-0.13,0.84,37.7,62.3,0
MD32-71,6,831.4,16.26,browninsh layer,1.15,0.12,0.6,0.55,0.09,4.55,5.92,4.68,1.37,0.3,1.08,2.12,63.78,34.1
MD32-72,6,852.2,16.44,,1.69,0.12,0.59,1.1,0.08,9.17,5.8,4.55,0.94,0.25,1.11,0.11,71.79,28.1
MD32-73,6,856.5,16.48,thick browninsh layer,1.15,0.13,0.56,0.59,0.08,4.9,5.1,7.18,1.14,0.01,0.79,27.7,72.3,0
MD32-74,6,862.3,16.53,,1.79,0.11,0.59,1.2,0.09,9.99,6.17,6.93,1.29,0.07,0.72,25.7,74.3,0
MD32-75,6,877.3,16.65,below browninsh layer,1.19,0.11,0.71,0.49,0.1,4.07,7.2,5.4,1.75,0.37,0.8,10.9,65.7,23.4
MD32-76,6,897.2,16.78,,1.72,0.13,0.51,1.21,0.08,10.06,4.73,5.37,1.39,0.36,1.01,6.52,81.38,12.1
MD32-77,7,915.5,16.91,,1.61,0.12,0.59,1.01,0.08,8.43,5.74,6.2,1.23,0.17,0.83,9.63,90.35,0.02
MD32-78,7,927.5,16.99,slight browninsh layer,2.12,0.12,0.54,1.58,0.08,13.13,5.3,4.61,0.93,0.26,1.1,0.16,74.74,25.1
MD32-79,7,934.5,17.04,thick browninsh layer,1.08,0.12,0.56,0.51,0.08,4.28,5.55,7.47,1.04,-0.02,0.85,33.9,66.1,0
MD32-80,7,939.5,17.08,"browninsh layer, transition",1.79,0.11,0.57,1.22,0.09,10.15,6.14,7.39,1.02,-0.07,0.86,31.5,68.5,0
MD32-81,7,956.1,17.19,KYWei sampled,1.31,0.1,0.58,0.74,0.08,6.13,6.9,7.38,1.09,-0.07,0.81,33.1,66.9,0
MD32-82,7,969.7,17.29,slight browninsh layer,1.48,0.1,0.57,0.91,0.08,7.59,6.55,7.44,1.05,-0.1,0.86,34,66,0
MD32-83,7,974.3,17.32,browninsh layer,1.15,0.12,0.62,0.53,0.09,4.43,5.89,7.87,1.01,-0.13,0.89,49.6,50.4,0
MD32-84,7,995.7,17.47,,1.79,0.11,0.61,1.18,0.08,9.79,6.29,7.04,1.12,0,0.82,22.9,77.1,0
MD32-85,7,1016,17.57,slight browninsh layer,1.38,0.11,0.62,0.76,0.08,6.35,6.8,7.96,0.99,-0.14,0.87,53.2,46.8,0
MD32-86,7,1032.3,17.65,,1.74,0.11,0.54,1.2,0.09,10,5.85,7.19,1.06,-0.03,0.85,25.7,74.3,0
MD32-87,7,1043.9,17.7,browninsh layer,1.35,0.11,0.63,0.71,0.09,5.95,6.62,6.53,1.39,0.05,0.75,18.2,81.8,0
MD32-88,8,1052.5,17.74,,1.54,0.11,0.51,1.03,0.08,8.57,5.28,8.09,0.94,-0.11,0.87,57.3,42.7,0
MD32-89,8,1057.3,17.77,,1.82,0.11,0.66,1.16,0.08,9.66,7.33,7.34,1.13,-0.05,0.79,32.7,67.3,0
MD32-90,8,1063,17.79,,1.63,0.11,0.74,0.89,0.09,7.4,8.15,7.54,1.07,-0.1,0.82,38.4,61.6,0
MD32-91,8,1111.5,18.02,,1.11,0.1,0.83,0.27,0.1,2.27,9.89,7.34,1.12,-0.02,0.79,32.1,67.9,0
MD32-92,8,1122.8,18.07,,1.54,0.1,0.58,0.96,0.07,7.99,6.93,7.44,1.07,-0.06,0.84,34,66,0
MD32-93,8,1136.3,18.13,KYWei sampled,1.58,0.1,0.62,0.96,0.08,8,6.91,7.16,1.22,0.01,0.69,30.4,69.6,0
MD32-94,8,1148.5,18.19,below browninsh layer,1.49,0.1,0.94,0.55,0.13,4.55,10.82,7.03,1.09,0.05,0.81,22.2,77.8,0
MD32-95,8,1160,18.24,,1.14,0.1,0.64,0.51,0.08,4.22,7.58,7.4,1.11,-0.08,0.8,34.4,65.6,0
MD32-96,8,1179.5,18.33,,1.62,0.1,0.58,1.04,0.08,8.69,6.83,8.66,0.85,0.02,0.85,76.7,23.3,0
MD32-97,8,1195,18.41,,1.72,0.1,0.73,1,0.09,8.33,8.83,,,,,,,
