Depth (cm),Depth sed [m],Age [ka BP],TC [%],TOC [%],TN [%],δ13C Corg,δ15N,Terr [%] (δ13C Fterr (%)),"<63 µm [%] (Grain size, sieving)",TOC/TN
1802.5,18.025,22.1035,1.38,0.51,0.1,-20.88,1.75,31.45,98.76,5.95
1812.5,18.125,22.1815,1.01,0.47,0.09,-21.67,1.66,59.69,99.57,6.092592593
1822.5,18.225,22.26,0.87,0.53,0.1,-21.67,1.76,59.69,99.87,6.183333333
1832.5,18.325,22.361,1.05,0.53,0.1,-21.56,1.75,55.76,99.72,6.183333333
1842.5,18.425,22.44,1.11,0.53,0.1,-21.48,2.81,52.8,98.01,6.183333333
1852.5,18.525,22.4705,1.18,0.55,0.1,-21.47,3.05,52.62,99.44,6.416666667
1862.5,18.625,22.507,1.1,0.49,0.09,-21.48,3.32,52.89,99.15,6.351851852
1872.5,18.725,22.543,0.76,0.47,0.1,-21.56,2.75,55.89,99.8,5.483333333
1882.5,18.825,22.5805,1.16,0.5,0.09,-21.31,5.14,46.96,99.73,6.481481481
1892.5,18.925,22.623,1.24,0.51,0.1,-21.24,4.87,44.16,99.01,5.95
1902.5,19.025,22.6625,1.17,0.51,0.09,-21.44,5.06,51.37,99.8,6.611111111
1912.5,19.125,22.704,1.51,0.5,0.09,-21.23,5.27,43.92,99.63,6.481481481
1922.5,19.225,22.743,1.48,0.51,0.09,-21.17,4.7,41.66,99.58,6.611111111
1932.5,19.325,22.7825,1.52,0.54,0.1,-21.02,5.25,36.58,97.23,6.3
1942.5,19.425,22.823,1.32,0.53,0.1,-20.09,4.87,3.2,99.53,6.183333333
1951.5,19.515,22.8535,0.83,0.46,0.1,-21.12,4.86,39.96,99.86,5.366666667
1961.5,19.615,22.8895,1.68,0.51,0.09,-20.31,5.15,11.16,98.78,6.611111111
1971.5,19.715,23.0655,1.43,0.54,0.09,-20.78,5.02,27.79,99.9,7
1980.5,19.805,23.212,1.42,0.54,0.09,-20.71,2.75,25.44,98.9,7
1990.5,19.905,23.347,1.48,0.56,0.09,-20.89,3.02,31.69,99.63,7.259259259
2000.5,20.005,23.441,1.07,0.49,0.09,-21.25,2.86,44.55,99.67,6.351851852
2010.5,20.105,23.525,1.61,0.58,0.09,-21.47,5.87,52.45,99.64,7.518518519
2020.5,20.205,23.6175,1.44,0.5,0.09,-21.08,7.34,38.61,99.24,6.481481481
2030.5,20.305,23.7005,1.32,0.54,0.08,-20.84,7.39,30.09,98.9,7.875
2040.5,20.405,23.798,1.39,0.55,0.09,-20.37,4.92,13.37,99.58,7.12962963
2050.5,20.505,23.897,1.27,0.49,0.08,-20.17,5.34,6.17,99.41,7.145833333
2058.5,20.585,23.996,1.05,0.46,0.09,-20.58,4.97,20.58,99.67,5.962962963
2070.5,20.705,24.2165,1.38,0.53,0.09,-20.46,5.03,16.33,99.4,6.87037037
2079.5,20.795,24.348,1.35,0.54,0.1,-20.58,5.23,20.83,99.58,6.3
2089.5,20.895,24.398,1.45,0.48,0.09,-20.46,5.21,16.32,99.84,6.222222222
2097.5,20.975,24.4475,1.4,0.49,0.09,-20.74,5.1,26.54,99.87,6.351851852
2107.5,21.075,24.5035,1.53,0.56,0.09,-21.07,5.31,38.29,99.72,7.259259259
2117.5,21.175,24.554,1.57,0.51,0.1,-20.35,5.21,12.57,99.74,5.95
2127.5,21.275,24.6175,1.66,0.45,0.08,-20.54,5.24,19.42,97.15,6.5625
2137.5,21.375,24.6835,1.52,0.59,0.1,-21.18,5.59,42.01,99.82,6.883333333
2147.5,21.475,24.752,1.51,0.5,0.09,-20.21,5.39,7.58,98.83,6.481481481
2157.5,21.575,24.8225,1.43,0.54,0.09,-20.6,5.23,21.56,98.42,7
2167.5,21.675,24.922,1.31,0.55,0.1,-19.91,1.63,-3.37,93.49,6.416666667
2177.5,21.775,25.021,1.4,0.56,0.1,-20.08,5.2,3,99.86,6.533333333
2187.5,21.875,25.1205,0.85,0.49,0.09,-20.31,5.34,11.1,99.37,6.351851852
2198.5,21.985,25.23,1.23,0.54,0.09,-20.27,2.88,9.82,99.76,7
2208.5,22.085,25.329,1.33,0.52,0.09,-20.69,3.23,24.71,99.92,6.740740741
2218.5,22.185,25.4285,1.32,0.47,0.09,-20.21,4.63,7.34,99.72,6.092592593
2228.5,22.285,25.528,1.43,0.55,0.09,-21.37,2.79,48.91,99.9,7.12962963
2238.5,22.385,25.6275,1.4,0.55,0.09,-21.45,2.95,51.79,99.83,7.12962963
2248.5,22.485,25.7265,1.42,0.55,0.09,-21.35,3.54,48.31,99.61,7.12962963
2256.5,22.565,25.806,1.41,0.55,0.09,-21.25,5.2,44.77,99.69,7.12962963
2266.5,22.665,25.9055,1.41,0.56,0.09,-21.73,2.67,61.96,99.4,7.259259259
2276.5,22.765,26.005,1.47,0.6,0.1,-21.19,3.35,42.38,99.76,7
2286.5,22.865,26.1045,1.3,0.6,0.1,-21.48,5.63,52.79,99.61,7
