GL Depth,MS,Mean,GS Age (ka),,,Depth1 (cm),Age (ka),Asian dustREE (%)
4.4,39.3 ,37.341,19.47 ,,,,,
4.42,40.3 ,39.799,19.52 ,,,,,
4.44,40.7 ,38.248,19.56 ,,,,,
4.46,39.9 ,40.573,19.61 ,,,,,
4.48,41.2 ,41.895,19.65 ,,,,,
4.5,40.7 ,40.279,19.70 ,,,,,
4.52,40.4 ,38.678,19.74 ,,,,,
4.54,42.9 ,39.752,19.79 ,,,,,
4.56,42.2 ,38.825,19.84 ,,,,,
4.58,41.3 ,36.03,19.88 ,,,,,
4.6,40.7 ,34.921,19.94 ,,,,,
4.62,41.2 ,33.486,19.99 ,,,,,
4.64,43.1 ,37.779,20.04 ,,,,,
4.66,41.4 ,37.491,20.08 ,,,,,
4.68,41.9 ,36.79,20.13 ,,,,,
4.7,41.2 ,37.637,20.18 ,,,,,
4.72,41.5 ,37.789,20.23 ,,,,,
4.74,42.7 ,39.085,20.27 ,,,,,
4.76,43.6 ,38.648,20.32 ,,,,,
4.78,40.7 ,38.153,20.37 ,,,,,
4.8,39.7 ,36.271,20.41 ,,,,,
4.82,39.4 ,36.484,20.46 ,,,,,
4.84,38.8 ,34.847,20.51 ,,,,,
4.86,36.6 ,34.364,20.57 ,,,,,
4.88,36.5 ,33.045,20.62 ,,,,,
4.9,37.6 ,33.594,20.68 ,,,,,
4.92,37.1 ,30.134,20.73 ,,,,,
4.94,37.2 ,31.643,20.79 ,,,,,
4.96,38.0 ,32.579,20.84 ,,,,,
4.98,37.6 ,32.04,20.90 ,,,,,
5,37.2 ,31.875,20.96 ,,,,,
5.02,37.6 ,29.821,21.01 ,,,,,
5.04,37.8 ,31.83,21.07 ,,,,,
5.06,37.0 ,33.699,21.12 ,,,,,
5.08,36.8 ,34.577,21.18 ,,,,,
5.1,38.8 ,31.058,21.23 ,,,,,
5.12,38.1 ,31.703,21.29 ,,,,,
5.14,38.5 ,31.378,21.35 ,,,,,
5.16,38.0 ,33.359,21.40 ,,,,,
5.18,38.5 ,33.764,21.45 ,,,,,
5.2,38.2 ,33.141,21.51 ,,,,,
5.22,38.3 ,35.891,21.56 ,,,,,
5.24,37.5 ,40.087,21.60 ,,,,,
5.26,35.9 ,38.146,21.65 ,,,,,
5.28,35.8 ,34.405,21.70 ,,,,,
5.3,35.8 ,32.481,21.76 ,,,,,
5.32,37.0 ,29.771,21.81 ,,,,,
5.34,38.5 ,31.141,21.87 ,,,,,
5.36,38.3 ,33.016,21.93 ,,,,,
5.38,38.4 ,31.284,21.98 ,,,,,
5.4,39.7 ,31.942,22.04 ,,,,,
5.42,38.2 ,32.84,22.09 ,,,,,
5.44,38.7 ,31.084,22.15 ,,,,,
5.46,38.3 ,31.127,22.21 ,,,,,
5.48,37.4 ,31.14,22.27 ,,,,,
5.5,37.0 ,27.27,22.33 ,,,,,
5.52,37.5 ,29.66,22.39 ,,,,,
5.54,37.6 ,28.118,22.45 ,,,,,
5.56,38.0 ,30.363,22.51 ,,,,,
5.58,37.7 ,32.185,22.57 ,,,,,
5.6,37.9 ,29.753,22.63 ,,,,,
5.62,37.2 ,29.711,22.68 ,,,,,
5.64,38.4 ,35.99,22.74 ,,,,,
5.66,38.1 ,38.7,22.78 ,,,,,
5.68,38.7 ,38.903,22.83 ,,,,,
5.7,39.1 ,37.099,22.88 ,,,,,
5.72,39.7 ,38.514,22.92 ,,,,,
5.74,36.4 ,38.15,22.97 ,,,,,
5.76,38.3 ,37.989,23.02 ,,,,,
5.78,39.8 ,39.912,23.06 ,,,,,
5.8,37.3 ,39.488,23.11 ,,,,,
5.82,40.5 ,37.492,23.16 ,,,,,
5.84,38.1 ,32.282,23.21 ,,,,,
5.86,37.2 ,33.673,23.26 ,,,,,
5.88,36.8 ,32.273,23.32 ,,,,,
5.9,38.3 ,33.699,23.37 ,,,,,
5.92,37.6 ,33.611,23.43 ,,,,,
5.94,36.9 ,32.493,23.48 ,,,,,
5.96,37.2 ,30.595,23.54 ,,,,,
5.98,36.7 ,30.574,23.60 ,,,,,
6,36.7 ,28.905,23.66 ,,,,,
6.02,37.3 ,29.383,23.72 ,,,,,
6.04,36.8 ,29.255,23.78 ,,,,,
6.06,36.0 ,31.87,23.84 ,,,,,
6.08,37.2 ,31.089,23.89 ,,,,,
6.1,36.9 ,31.754,23.95 ,,,,,
6.12,36.5 ,33.209,24.00 ,,,,,
6.14,35.0 ,31.856,24.06 ,,,,,
6.16,35.1 ,32.567,24.11 ,,,,,
6.18,36.8 ,34.248,24.17 ,,,,,
6.2,37.5 ,36.95,24.22 ,,,,,
6.22,36.3 ,34.571,24.27 ,,,,,
6.24,37.3 ,33.221,24.32 ,,,,,
6.26,37.0 ,34.889,24.37 ,,,,,
6.28,36.5 ,38.809,24.42 ,,,,,
6.3,37.2 ,38.26,24.47 ,,,,,
6.32,37.5 ,31.401,24.52 ,,,,,
6.34,38.7 ,32.102,24.58 ,,,,,
6.36,38.3 ,31.845,24.63 ,,,,,
6.38,37.8 ,30.739,24.69 ,,,,,
6.4,34.7 ,28.653,24.75 ,,,,,
6.42,34.3 ,26.464,24.82 ,,,,,
6.44,36.5 ,27.442,24.88 ,,,,,
6.46,37.7 ,30.24,24.94 ,,,,,
6.48,37.4 ,30.341,25.00 ,,,,,
6.5,37.5 ,30.55,25.06 ,,,,,
6.52,37.9 ,29.991,25.12 ,,,,,
6.54,38.0 ,31.694,25.18 ,,,,,
6.56,37.7 ,33.714,25.23 ,,,,,
6.58,37.5 ,32.408,25.28 ,,,,,
6.6,37.4 ,32.734,25.34 ,,,,,
6.62,36.9 ,32.506,25.40 ,,,,,
6.64,36.9 ,31.848,25.45 ,,,,,
6.66,36.5 ,33.727,25.50 ,,,,,
6.68,36.8 ,34.512,25.56 ,,,,,
6.7,36.4 ,31.845,25.61 ,,,,,
6.72,37.8 ,30.583,25.67 ,,,,,
6.74,37.9 ,30.221,25.73 ,,,,,
6.76,36.6 ,35.339,25.78 ,,,,,
6.78,36.1 ,38.382,25.83 ,,,,,
6.8,35.7 ,37.204,25.87 ,,,,,
6.82,33.8 ,37.652,25.92 ,,,,,
6.84,35.2 ,32.584,25.97 ,,,,,
6.86,36.8 ,33.587,26.03 ,,,,,
6.88,36.0 ,36.14,26.08 ,,,,,
6.9,36.3 ,36.169,26.13 ,,,,,
6.92,35.0 ,31.266,26.19 ,,,,,
6.94,36.8 ,29.16,26.24 ,,,,,
6.96,36.4 ,30.901,26.30 ,,,,,
6.98,36.9 ,27.985,26.37 ,,,,,
7,36.4 ,28.432,26.43 ,,,,,
7.02,35.9 ,33.23,26.48 ,,,,,
7.04,36.2 ,32.407,26.54 ,,,,,
7.06,37.1 ,33.25,26.59 ,,,,,
7.08,38.1 ,34.181,26.64 ,,,,,
7.1,37.4 ,33.41,26.70 ,,,,,
7.12,37.6 ,33.89,26.75 ,,,,,
7.14,36.7 ,33.419,26.80 ,,,,,
7.16,36.3 ,32.526,26.86 ,,,,,
7.18,37.2 ,32.653,26.91 ,,,,,
7.2,36.0 ,32.052,26.97 ,,,,,
7.22,36.3 ,29.697,27.03 ,,,,,
7.24,36.3 ,30.391,27.09 ,,,,,
7.26,36.1 ,30.584,27.15 ,,,,,
7.28,36.4 ,31.202,27.20 ,,,,,
7.3,37.2 ,30.37,27.26 ,,,,,
7.32,36.1 ,33.505,27.31 ,,,,,
7.34,37.1 ,36.612,27.36 ,,,,,
7.36,37.3 ,37.526,27.41 ,,,,,
7.38,38.2 ,36.022,27.46 ,,,,,
7.4,35.8 ,35.62,27.51 ,,,,,
7.42,36.5 ,36.468,27.56 ,,,,,
7.44,38.1 ,38.19,27.61 ,,,,,
7.46,37.2 ,38.002,27.66 ,,,,,
7.48,37.4 ,35.82,27.70 ,,,,,
7.5,36.0 ,36.96,27.75 ,,,,,
7.52,35.7 ,34.347,27.80 ,,,,,
7.54,35.6 ,36.773,27.85 ,,,,,
7.56,35.3 ,35.428,27.90 ,,,,,
7.58,36.4 ,34.697,27.96 ,,,,,
7.6,36.7 ,31.698,28.01 ,,,,,
7.62,36.8 ,32.085,28.07 ,,,,,
7.64,36.2 ,32.474,28.12 ,,,,,
7.66,36.0 ,36.444,28.17 ,,,,,
7.68,35.6 ,36.043,28.22 ,,,,,
7.7,35.7 ,35.571,28.27 ,,,,,
7.72,35.5 ,33.277,28.32 ,,,,,
7.74,36.8 ,33.165,28.38 ,,,,,
7.76,37.0 ,33.012,28.43 ,,,,,
7.78,35.9 ,30.541,28.49 ,,,,,
7.8,35.6 ,29.265,28.55 ,,,,,
7.82,36.4 ,27.809,28.62 ,,,,,
7.84,37.1 ,28.045,28.68 ,,,,,
7.86,36.3 ,29.948,28.74 ,,,,,
7.88,36.9 ,28.744,28.80 ,,,,,
7.9,36.5 ,27.841,28.86 ,,,,,
7.92,36.3 ,29.9,28.92 ,,,,,
7.94,36.1 ,31.536,28.98 ,,,,,
7.96,35.0 ,30.284,29.04 ,,,,,
7.98,33.9 ,30.934,29.10 ,,,,,
8,35.1 ,31.633,29.15 ,,,,,
8.02,34.7 ,32.364,29.21 ,,,,,
8.04,35.3 ,31.957,29.27 ,,,,,
8.06,35.3 ,31.988,29.32 ,,,,,
8.08,35.3 ,31.944,29.38 ,,,,,
8.1,35.7 ,30.706,29.43 ,,,,,
8.12,36.1 ,32.662,29.49 ,,,,,
8.14,36.8 ,32.025,29.55 ,,,,,
8.16,36.2 ,30.874,29.60 ,,,,,
8.18,35.5 ,31.307,29.66 ,,,,,
8.2,34.9 ,31.212,29.72 ,,,,,
8.22,35.0 ,30.481,29.78 ,,,,,
8.24,34.7 ,30.921,29.83 ,,,,,
8.26,35.5 ,33.261,29.89 ,,,,,
8.28,35.0 ,32.323,29.94 ,,,,,
8.3,35.0 ,31.992,30.00 ,,,,,
8.32,35.6 ,31.421,30.05 ,,,,,
8.34,36.6 ,33.385,30.09 ,,,,,
8.36,36.6 ,31.958,30.14 ,,,,,
8.38,37.1 ,32.865,30.19 ,,,,,
8.4,36.9 ,34.017,30.23 ,,,,,
8.42,37.0 ,31.886,30.28 ,,,,,
8.44,35.6 ,28.556,30.33 ,,,,,
8.46,35.3 ,29.562,30.38 ,,,,,
8.48,34.8 ,26.336,30.44 ,,,,,
8.5,35.3 ,27.905,30.49 ,,,,,
8.52,36.1 ,27.337,30.55 ,,,,,
8.54,35.9 ,28.263,30.60 ,,,,,
8.56,35.8 ,28.132,30.65 ,,,,,
8.58,34.5 ,30.567,30.70 ,,,,,
8.6,34.5 ,29.478,30.75 ,,,,,
8.62,35.2 ,29.319,30.80 ,,,,,
8.64,34.7 ,29.887,30.85 ,,,,,
8.66,34.0 ,30.121,30.90 ,,,,,
8.68,33.3 ,29.485,30.95 ,,,,,
8.7,34.0 ,29.949,31.00 ,,,,,
8.72,33.9 ,30.107,31.05 ,,,,,
