Age 1,O181,,,Age2,O182
21.269,-6.2,,2555,2.555,-7.35
21.346,-6.3,,2560.1,2.5601,-7.46
21.423,-5.97,,2565.3,2.5653,-7.6
21.501,-6.03,,2570.4,2.5704,-7.25
21.578,-6.08,,2575.5,2.5755,-7.37
21.655,-6.1,,2580.7,2.5807,-7.76
21.732,-6.11,,2585.8,2.5858,-7.8
21.81,-6.05,,2591,2.591,-7.53
21.887,-6.1,,2596.1,2.5961,-7.35
21.964,-6.25,,2601.3,2.6013,-7.37
22.041,-6.33,,2606.4,2.6064,-8.32
22.118,-6.08,,2611.5,2.6115,-7.39
22.196,-6.07,,2616.7,2.6167,-7.67
22.273,-6.1,,2621.8,2.6218,-7.86
22.36,-6.18,,2627.1,2.6271,-7.79
22.446,-6.3,,2652.8,2.6528,-7.49
22.533,-6.22,,2678.5,2.6785,-7.67
22.62,-6.17,,2704.2,2.7042,-7.42
22.706,-6.17,,2729.9,2.7299,-6.88
22.793,-6.06,,2755.6,2.7556,-6.7
22.88,-6.21,,2781.2,2.7812,-7.36
22.966,-6.19,,2832.6,2.8326,-7.83
23.053,-6.27,,2896.9,2.8969,-7.91
23.14,-6.28,,2961.1,2.9611,-7.39
23.226,-6.39,,3025.4,3.0254,-7.41
23.313,-6.49,,3089.6,3.0896,-7.12
23.4,-6.38,,3153.8,3.1538,-7.23
23.487,-6.27,,3217.6,3.2176,-7.44
23.573,-6.26,,3330.4,3.3304,-7.28
23.66,-6.11,,3443.2,3.4432,-7.45
23.747,-5.95,,3556,3.556,-8.59
23.833,-5.78,,3631.2,3.6312,-8.27
23.92,-5.75,,3649.2,3.6492,-8.1
24.007,-5.57,,3667.2,3.6672,-7.74
24.093,-5.41,,3685.2,3.6852,-7.85
24.18,-5.17,, 3703.2      -,#VALUE!,7.73
24.241,-5.22,,3721.1,3.7211,-7.8
24.302,-5.47,,3739.1,3.7391,-8.02
24.363,-5.45,,3757.1,3.7571,-8.29
24.424,-5.61,,3775.1,3.7751,-8.08
24.485,-6,,3793.1,3.7931,-8.08
24.546,-6.37,,3811,3.811,-8.16
24.607,-6.76,,3829,3.829,-8.48
24.669,-6.88,,3847,3.847,-8.04
24.73,-6.92,,3865,3.865,-8
24.79,-6.74,,3883,3.883,-8.46
24.85,-6.53,,3901,3.901,-7.88
24.913,-6.48,,3918.9,3.9189,-8.05
24.974,-6.52,,3936.9,3.9369,-8.15
25.035,-6.49,,3954.9,3.9549,-8.25
25.096,-6.27,,3972.9,3.9729,-8.16
25.157,-6.27,,3990.9,3.9909,-8.2
25.218,-6.3,,4008.9,4.0089,-8.15
25.279,-6.41,,4030.4,4.0304,-8.21
25.34,-6.27,,4045.1,4.0451,-8.31
25.401,-6.34,,4049.4,4.0494,-8.18
25.462,-6.48,,4053.7,4.0537,-8.38
25.523,-6.6,,4057.9,4.0579,-8.12
25.584,-6.43,,4062.2,4.0622,-8.13
25.768,-6.25,,4066.5,4.0665,-8.38
25.829,-6.17,,4070.8,4.0708,-8
25.883,-6.2,,4075,4.075,-8.38
25.938,-6.27,,4079.3,4.0793,-8.2
25.992,-6.35,,4083.6,4.0836,-8.34
26.046,-6.48,,4087.9,4.0879,-8.34
26.101,-6.44,,4092.1,4.0921,-8.13
26.155,-6.54,,4096.4,4.0964,-8.39
26.21,-6.52,,4100.7,4.1007,-8.18
26.264,-6.59,,4105,4.105,-8.56
26.318,-6.67,,4109.2,4.1092,-8.21
